Order ID,Order Date,Customer Name,Segment,Product Name,Category,Sub-Category,Region,Country,State,City,Sales,Quantity,Profit
ORD-0001,2023-10-03,John Smith,Home Office,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,3506.71,2,319.15
ORD-0002,2023-03-15,Carlos Diaz,Home Office,Notebook,Office Supplies,Paper,Europe,Germany,Berlin,Berlin,4980.68,8,193.49
ORD-0003,2023-05-17,Carlos Diaz,Corporate,Office Chair,Furniture,Chairs,Asia,India,Karnataka,Bangalore,364.35,9,1339.78
ORD-0004,2023-12-19,Alice Brown,Home Office,Notebook,Office Supplies,Paper,Europe,Germany,Berlin,Berlin,3046.79,7,100.58
ORD-0005,2023-08-23,Alice Brown,Corporate,Printer,Technology,Machines,US,United States,California,San Francisco,1090.48,7,685.03
ORD-0006,2023-11-28,John Smith,Home Office,Printer,Technology,Machines,US,United States,California,San Francisco,3047.79,9,363.52
ORD-0007,2023-10-12,Anita Sharma,Corporate,Notebook,Office Supplies,Paper,Europe,Germany,Berlin,Berlin,2783.58,1,424.87
ORD-0008,2023-01-15,Anita Sharma,Corporate,Printer,Technology,Machines,Europe,Germany,Berlin,Berlin,3818.07,3,1030.94
ORD-0009,2023-05-30,John Smith,Corporate,Printer,Technology,Machines,Europe,Germany,Berlin,Berlin,558.68,8,1258.1
ORD-0010,2023-06-21,John Smith,Corporate,Office Chair,Furniture,Chairs,US,United States,California,San Francisco,3090.32,3,7.29
ORD-0011,2023-02-22,Ravi Kumar,Consumer,Pen Set,Office Supplies,Art,Asia,India,Karnataka,Bangalore,2085.18,4,549.72
ORD-0012,2023-11-15,Anita Sharma,Corporate,Office Chair,Furniture,Chairs,Asia,India,Karnataka,Bangalore,2070.88,5,83.82
ORD-0013,2023-05-07,Carlos Diaz,Corporate,Pen Set,Office Supplies,Art,US,United States,California,San Francisco,1645.52,8,322.93
ORD-0014,2023-04-18,Anita Sharma,Corporate,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,493.33,10,1055.85
ORD-0015,2023-09-25,Anita Sharma,Consumer,Laptop,Technology,Computers,US,United States,California,San Francisco,3422.19,4,1018.39
ORD-0016,2023-08-03,Ravi Kumar,Home Office,Laptop,Technology,Computers,US,United States,California,San Francisco,1159.79,10,1428.84
ORD-0017,2023-11-11,Ravi Kumar,Consumer,Laptop,Technology,Computers,Asia,India,Karnataka,Bangalore,1087.05,1,1342.23
ORD-0018,2023-12-26,Carlos Diaz,Home Office,Office Chair,Furniture,Chairs,US,United States,California,San Francisco,4744.3,4,935.04
ORD-0019,2023-08-14,Ravi Kumar,Corporate,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,3528.16,6,1252.0
ORD-0020,2023-10-12,Carlos Diaz,Home Office,Printer,Technology,Machines,Asia,India,Karnataka,Bangalore,4239.97,6,484.33
ORD-0021,2023-05-31,Ravi Kumar,Consumer,Laptop,Technology,Computers,Asia,India,Karnataka,Bangalore,3998.76,5,1242.6
ORD-0022,2023-09-14,Alice Brown,Consumer,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,1228.25,4,1185.84
ORD-0023,2023-05-06,Carlos Diaz,Home Office,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,3058.7,2,636.17
ORD-0024,2023-11-06,Ravi Kumar,Corporate,Notebook,Office Supplies,Paper,Europe,Germany,Berlin,Berlin,4846.51,9,479.62
ORD-0025,2023-12-11,Carlos Diaz,Corporate,Pen Set,Office Supplies,Art,Asia,India,Karnataka,Bangalore,507.13,5,654.92
ORD-0026,2023-04-05,Ravi Kumar,Consumer,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,2703.34,7,-28.26
ORD-0027,2023-10-15,Carlos Diaz,Home Office,Laptop,Technology,Computers,Europe,Germany,Berlin,Berlin,715.0,1,797.8
ORD-0028,2023-12-25,Anita Sharma,Corporate,Office Chair,Furniture,Chairs,US,United States,California,San Francisco,230.28,2,571.22
ORD-0029,2023-11-11,John Smith,Corporate,Notebook,Office Supplies,Paper,Asia,India,Karnataka,Bangalore,2734.14,3,674.87
ORD-0030,2023-07-10,John Smith,Home Office,Laptop,Technology,Computers,Asia,India,Karnataka,Bangalore,1428.24,3,1441.36
ORD-0031,2023-12-21,Ravi Kumar,Consumer,Notebook,Office Supplies,Paper,Europe,Germany,Berlin,Berlin,3304.71,2,704.75
ORD-0032,2023-01-29,Alice Brown,Corporate,Laptop,Technology,Computers,US,United States,California,San Francisco,4007.96,2,967.17
ORD-0033,2023-11-03,Ravi Kumar,Consumer,Printer,Technology,Machines,Europe,Germany,Berlin,Berlin,1016.98,9,918.18
ORD-0034,2023-08-17,Carlos Diaz,Corporate,Printer,Technology,Machines,Europe,Germany,Berlin,Berlin,2245.68,9,794.12
ORD-0035,2023-10-19,Ravi Kumar,Consumer,Laptop,Technology,Computers,US,United States,California,San Francisco,2758.57,8,821.61
ORD-0036,2023-07-22,Ravi Kumar,Corporate,Pen Set,Office Supplies,Art,US,United States,California,San Francisco,2816.9,1,401.67
ORD-0037,2023-07-16,Anita Sharma,Home Office,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,2868.58,7,462.42
ORD-0038,2023-02-20,Anita Sharma,Home Office,Notebook,Office Supplies,Paper,Asia,India,Karnataka,Bangalore,902.25,10,273.23
ORD-0039,2023-12-07,Carlos Diaz,Corporate,Pen Set,Office Supplies,Art,US,United States,California,San Francisco,4828.94,3,204.04
ORD-0040,2023-10-02,John Smith,Consumer,Laptop,Technology,Computers,US,United States,California,San Francisco,1492.54,10,1181.26
ORD-0041,2023-10-16,Ravi Kumar,Corporate,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,4799.64,5,1377.84
ORD-0042,2023-03-14,Anita Sharma,Corporate,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,4253.38,7,163.99
ORD-0043,2023-07-15,John Smith,Corporate,Office Chair,Furniture,Chairs,US,United States,California,San Francisco,4135.46,9,1236.85
ORD-0044,2023-07-18,John Smith,Consumer,Pen Set,Office Supplies,Art,US,United States,California,San Francisco,1810.69,8,567.91
ORD-0045,2023-03-30,Carlos Diaz,Home Office,Pen Set,Office Supplies,Art,Europe,Germany,Berlin,Berlin,2987.36,2,245.74
ORD-0046,2023-05-10,Anita Sharma,Corporate,Printer,Technology,Machines,US,United States,California,San Francisco,2207.51,9,240.53
ORD-0047,2023-02-04,Anita Sharma,Consumer,Notebook,Office Supplies,Paper,Europe,Germany,Berlin,Berlin,468.76,8,1077.51
ORD-0048,2023-04-29,Carlos Diaz,Consumer,Notebook,Office Supplies,Paper,Asia,India,Karnataka,Bangalore,3249.45,10,409.17
ORD-0049,2023-08-01,Alice Brown,Corporate,Printer,Technology,Machines,Asia,India,Karnataka,Bangalore,4034.76,5,701.14
ORD-0050,2023-08-05,Alice Brown,Home Office,Laptop,Technology,Computers,Asia,India,Karnataka,Bangalore,1619.36,9,1064.2
